year,account,mf_amount,freee_amount,diff
2023,Amazon手数料,420919,1209.0,419710.0
2023,事業主借,-3083846,247.0,-3084093.0
2023,仕入高,201013,1586944.0,-1385931.0
2023,商品,93389,2710668.0,-2617279.0
2023,売上高,-456546,-94634.0,-361912.0
2023,売掛金,-24106,227390.0,-251496.0
2023,外注工賃,322822,0.0,322822.0
2023,支払手数料,53941,0.0,53941.0
2023,新聞図書費,12830,0.0,12830.0
2023,普通預金,425501,0.0,425501.0
2023,未払金,-58403,739617.0,-798020.0
2023,消耗品費,2992,0.0,2992.0
2023,研修採用費,349600,0.0,349600.0
2023,研究開発費,35567,0.0,35567.0
2023,通信費,251737,0.0,251737.0
2023,開業費,720295,766381.0,-46086.0
2023,雑収入,-1,0.0,-1.0
2023,雑費,145736,0.0,145736.0
2023,預け金,586560,0.0,586560.0
2024,Amazon手数料,553569,293453.0,260116.0
2024,事業主借,-433398,45914.0,-479312.0
2024,仕入高,1009709,1310437.0,-300728.0
2024,商品,-93389,0.0,-93389.0
2024,売上高,-1134057,-512.0,-1133545.0
2024,売掛金,88807,1047744.0,-958937.0
2024,外注工賃,239343,0.0,239343.0
2024,広告宣伝費,159861,0.0,159861.0
2024,支払手数料,11154,0.0,11154.0
2024,普通預金,-295045,0.0,-295045.0
2024,未払金,30046,1058662.0,-1028616.0
2024,研究開発費,32251,0.0,32251.0
2024,荷造運賃,960,0.0,960.0
2024,通信費,167649,0.0,167649.0
2024,雑収入,-50721,0.0,-50721.0
2024,雑費,99164,0.0,99164.0
2024,預け金,-385903,0.0,-385903.0
2025,Amazon手数料,902832,902832.0,0.0
2025,事業主借,-600000,0.0,-600000.0
2025,仕入高,1688057,2123714.0,-435657.0
2025,売上高,-2990201,1223816.0,-4214017.0
2025,売掛金,-98473,2687680.0,-2786153.0
2025,外注工賃,112200,0.0,112200.0
2025,工具器具備品,0,275600.0,-275600.0
2025,広告宣伝費,770213,770213.0,0.0
2025,支払手数料,2332,2332.0,0.0
2025,普通預金,40679,0.0,40679.0
2025,未払金,17363,202168.0,-184805.0
2025,未確定勘定,1,2.0,-1.0
2025,消耗品費,1265,1265.0,0.0
2025,減価償却費,137800,137800.0,0.0
2025,通信費,190383,192018.0,-1635.0
2025,雑収入,-5004,0.0,-5004.0
2025,雑費,31210,31210.0,0.0
2025,預け金,-200657,0.0,-200657.0
